Date,Price,Open,High,Low,Vol.,Change %
05/03/2022,48200,49050,49550,48150,50,-0.0302
05/02/2022,49700,49000,50500,48550,104120,-0.008
04/29/2022,50100,47750,50100,47750,160,0.0503
04/28/2022,47700,48400,48850,47450,10,-0.0134
04/27/2022,48350,48200,48950,48200,130890,-0.0349
04/26/2022,50100,49600,50200,49150,0,0.0111
04/25/2022,49550,50000,50300,49500,115140,-0.0303
04/22/2022,51100,51500,51500,50000,145900,-0.0135
04/21/2022,51800,52800,53300,51800,50,-0.0077
04/20/2022,52200,52700,52800,52000,0,-0.0114
04/19/2022,52800,52000,53000,52000,118090,0.0115
04/18/2022,52200,53000,53000,52000,50,-0.0132
04/17/2022,52900,52900,52900,52900,95460,0
04/15/2022,52900,52900,53300,51500,163340,0
04/14/2022,52900,54200,54300,52900,203460,-0.0204
04/13/2022,54000,53600,54100,53200,156710,0.0075
04/12/2022,53600,53400,53600,52200,20,-0.0165
04/11/2022,54500,57700,57700,54500,128510,-0.0439
04/10/2022,57000,57000,57000,57000,10,0
04/08/2022,57000,55500,58200,55300,80,0.027
04/07/2022,55500,57800,59900,55200,235890,-0.0381
04/06/2022,57700,58300,58500,56800,20,-0.0154
04/05/2022,58600,59300,60400,58000,173630,0.0263
04/04/2022,57100,53100,57500,53100,186120,0.0693
04/01/2022,53400,54300,54300,53100,0,-0.0166
03/31/2022,54300,54100,54600,53600,117090,-0.0018
03/30/2022,54400,54800,55200,54000,126390,0.0093
03/29/2022,53900,53100,54200,53000,40,0.0286
03/28/2022,52400,54400,54400,52300,610,-0.0368
03/25/2022,54400,54600,55400,53900,276780,0.0018
03/24/2022,54300,54600,54700,53700,215910,-0.0181
03/23/2022,55300,55600,56400,54500,450280,0.011
03/22/2022,54700,54600,55200,53200,0,0.0018
03/21/2022,54600,53500,55300,52700,150,0.0361
03/20/2022,52700,52700,52700,52700,50,0
03/18/2022,52700,53200,55400,52500,204660,0.0038
03/17/2022,52500,53100,53600,52100,189130,0.0254
03/16/2022,51200,50900,51800,50300,230820,0.0302
03/15/2022,49700,50000,50500,49000,120,-0.01
03/14/2022,50200,53000,53000,50000,60,-0.0634
03/11/2022,53600,53900,54800,52700,259570,-0.0074
03/10/2022,54000,53700,57600,53100,655130,0.0305
03/08/2022,52400,52700,54100,52000,210,-0.042
03/07/2022,54700,55600,55800,53800,420,-0.0353
03/06/2022,56700,56700,56700,56700,350,0
03/04/2022,56700,58200,58200,56200,533240,-0.0291
03/03/2022,58400,59200,59700,56600,510,0.0017
03/02/2022,58300,51500,59800,51500,0,0.1169
03/01/2022,52200,52200,52200,52200,120,0
02/28/2022,52200,52100,53200,51200,270,0.0058
02/27/2022,51900,51900,51900,51900,517290,0
02/25/2022,51900,49000,52900,49000,0,0.0903
02/24/2022,47600,49850,50100,47600,260,-0.0518
02/23/2022,50200,50300,51000,50000,100,0.002
02/22/2022,50100,50300,51700,50000,10,-0.0291
02/21/2022,51600,51600,52300,51000,264130,-0.0171
02/18/2022,52500,49800,52800,49550,40,0.0274
02/17/2022,51100,50700,53300,49700,290,0.0119
02/16/2022,50500,49800,50700,49150,537340,0.0412
02/15/2022,48500,47550,49600,46850,291250,0.0275
02/14/2022,47200,49000,49100,47100,365390,-0.0436
02/11/2022,49350,48300,51700,48250,0,-0.001
02/10/2022,49400,52200,52200,49050,491460,-0.037
02/09/2022,51300,49050,52500,48700,370,0.0577
02/08/2022,48500,48750,50800,48000,891470,-0.0202
02/07/2022,49500,49250,49700,46500,120,-0.007
02/06/2022,49850,49850,49850,49850,340,0
02/04/2022,49850,49950,51000,49150,244530,-0.0089
02/03/2022,50300,49800,50900,48150,258960,0.0414
02/02/2022,48300,48300,48300,48300,60,0
01/28/2022,48300,49800,50500,43050,290,-0.033
01/27/2022,49950,47800,52000,46500,30,0.1893
01/26/2022,42000,58000,61800,42000,251320,-0.2759
01/25/2022,58000,58200,59600,57100,378730,-0.0068
01/24/2022,58400,61900,62800,58300,20,-0.0861
01/21/2022,63900,64600,65000,63000,364910,-0.0169
01/20/2022,65000,62800,65100,62800,1730,0.0252
01/19/2022,63400,63800,65000,63000,290,-0.0171
01/18/2022,64500,66300,66800,64300,590,-0.0242
01/17/2022,66100,66000,67400,65500,811040,0.0046
01/14/2022,65800,67500,67600,65600,611100,-0.0408
01/13/2022,68600,70500,71000,68500,869750,-0.0324
01/12/2022,70900,68100,71700,68100,406640,0.0488
01/11/2022,67600,68500,70500,67500,795110,-0.0146
01/10/2022,68600,71900,71900,68500,460470,-0.0485
01/09/2022,72100,72100,72100,72100,297610,0
01/07/2022,72100,70700,72600,70100,179580,0.0169
01/06/2022,70900,70500,72700,70500,258290,-0.0207
01/05/2022,72400,74500,74500,72100,177560,-0.0269
01/04/2022,74400,77400,77400,74000,212150,-0.0287
01/03/2022,76600,77200,78300,76600,237260,-0.0078
12/30/2021,77200,76200,77600,74600,189750,0.0171
12/29/2021,75900,76700,78900,75200,664560,-0.0104
12/28/2021,76700,75600,79400,75600,299470,0.0227
12/27/2021,75000,76000,76200,74600,156450,-0.0053
12/26/2021,75400,75400,75400,75400,212080,0
12/24/2021,75400,74900,76600,73200,240470,0.0121
12/23/2021,74500,75100,76300,74200,271780,-0.004
12/22/2021,74800,75100,76300,74600,234220,0.0067
12/21/2021,74300,76500,77000,73100,201410,-0.0288
12/20/2021,76500,74500,77300,72400,176970,0.0026
12/19/2021,76300,76300,76300,76300,570470,0
12/17/2021,76300,79100,79100,76300,188390,-0.0354
12/16/2021,79100,79200,80700,79100,125160,-0.0013
12/15/2021,79200,77300,80600,77000,140470,0.0089
12/14/2021,78500,78000,79600,77000,161780,0.0026
12/13/2021,78300,80700,81300,78300,222390,-0.0273
12/12/2021,80500,80500,80500,80500,327810,0
12/10/2021,80500,81200,81600,80100,520610,-0.0301
12/09/2021,83000,81000,84400,80400,559260,0.0247
12/08/2021,81000,81300,83100,81000,173630,-0.0037
12/07/2021,81300,82800,84000,80100,186120,-0.0145
12/06/2021,82500,84000,84500,82300,0,-0.0328
12/05/2021,85300,85300,85300,85300,117090,0
12/03/2021,85300,85000,86300,83700,126390,0.0059
12/02/2021,84800,82100,85900,81700,40,0.0012
12/01/2021,84700,82300,85700,79700,610,0.0279
11/30/2021,82400,88900,90100,82300,276780,-0.0604
11/29/2021,87700,87900,90300,86100,215910,-0.0478
11/26/2021,92100,95900,97000,91700,450280,-0.0356
11/25/2021,95500,91300,97500,90900,0,0.0588
11/24/2021,90200,91000,91800,90000,150,-0.0055
