Date,Price,Open,High,Low,Vol.,Change %
02/27/2023,280000,238500,283000,238000,569290,0.157
02/26/2023,242000,242000,242000,242000,594500,0
02/24/2023,242000,246000,250500,238000,848150,-0.0021
02/23/2023,242500,243000,246000,224000,706340,0.0211
02/22/2023,237500,241500,252000,229000,513600,-0.0443
02/21/2023,248500,240500,251000,240000,521680,0.053
02/20/2023,236000,219000,238500,219000,397090,0.0703
02/19/2023,220500,220500,220500,220500,638700,0
02/17/2023,220500,225500,238500,215000,413280,-0.0774
02/16/2023,239000,220500,242000,213500,350190,0.1194
02/15/2023,213500,202000,221000,200500,356260,0.0827
02/14/2023,197200,198800,199400,188300,400400,0.002
02/13/2023,196800,187000,199200,185000,544190,0.0468
02/12/2023,188000,188000,188000,188000,701710,0
02/10/2023,188000,193100,199000,184700,759890,-0.0162
02/09/2023,191100,172700,196700,171500,768630,0.1059
02/08/2023,172800,166200,176100,164200,695220,0.0416
02/07/2023,165900,147200,178100,147000,767880,0.1347
02/06/2023,146200,138500,149000,138200,555880,0.0625
02/05/2023,137600,137600,137600,137600,675280,0
02/03/2023,137600,130800,142200,129100,748610,0.0504
02/02/2023,131000,130500,132000,129400,566340,0.0202
02/01/2023,128400,123500,129500,123500,535780,0.0456
01/31/2023,122800,122800,124100,119000,744620,-0.03
01/30/2023,126600,126300,129900,124900,887260,0.0161
01/29/2023,124600,124600,124600,124600,533250,0
01/27/2023,124600,126600,126900,123600,548420,0
01/26/2023,124600,118900,124900,117400,967820,0.0613
01/25/2023,117400,115100,118300,115100,875190,0.0399
01/24/2023,112900,112900,112900,112900,828770,0
01/20/2023,112900,111100,113400,109500,524370,0.0153
01/19/2023,111200,113600,114200,110900,533040,-0.0314
01/18/2023,114800,115700,116800,114500,421310,0
01/17/2023,114800,117200,119200,113600,488450,-0.0146
01/16/2023,116500,115600,118800,114700,666990,0.013
01/15/2023,115000,115000,115000,115000,647760,0
01/13/2023,115000,116200,117000,114300,547250,-0.0086
01/12/2023,116000,117900,117900,115300,860440,-0.0043
01/11/2023,116500,110100,116500,109900,743930,0.0678
01/10/2023,109100,111200,112800,109000,959270,-0.0136
01/09/2023,110600,111500,112000,109600,780150,0.0091
01/06/2023,109600,109200,112000,108400,861150,-0.0063
01/05/2023,110300,115100,115800,110100,617180,-0.0325
01/04/2023,114000,111100,114600,110800,671200,0
01/03/2023,114000,109500,114100,108500,909780,0.0364
01/02/2023,110000,103000,110800,103000,425930,0.068
12/29/2022,103000,105600,106600,102700,407650,-0.0246
12/28/2022,105600,111000,111500,103600,534460,-0.055
12/27/2022,111748,111262,114078,110971,603470,0.0079
12/26/2022,110874,108544,111068,107864,674310,-0.0083
12/25/2022,111800,111800,111800,111800,586540,0.03
12/23/2022,108544,110680,111651,108058,567980,-0.0485
12/22/2022,114078,114078,115243,112718,408400,0.0034
12/21/2022,113689,114757,115049,112718,763050,0.0156
12/20/2022,111942,110971,113884,110291,654650,0.007
12/19/2022,111165,110874,113107,108447,488770,-0.035
12/18/2022,115200,115200,115200,115200,714860,0.03
12/16/2022,111845,112330,114563,111359,771650,-0.0319
12/15/2022,115534,114660,118738,113689,490400,-0.0033
12/14/2022,115922,110680,115922,110000,764570,0.0576
12/13/2022,109612,110777,114272,108252,826170,-0.0026
12/12/2022,109903,110680,113689,109223,882670,-0.0368
12/11/2022,114100,114100,114100,114100,904200,0.03
12/09/2022,110777,118544,119223,110194,643760,-0.0578
12/08/2022,117573,119223,120388,117282,577280,-0.017
12/07/2022,119612,119126,121748,118641,460580,-0.0081
12/06/2022,120583,122427,123981,120485,667070,-0.0312
12/05/2022,124466,130777,131165,123786,410410,-0.0711
12/04/2022,134000,134000,134000,134000,940840,0.03
12/02/2022,130097,137379,137767,128641,663140,-0.053
12/01/2022,137379,137767,139320,135728,961110,0.0107
11/30/2022,135922,131359,136893,130291,693730,0.0347
11/29/2022,131359,126699,131553,126505,262100,0.0392
11/28/2022,126408,126311,130097,123301,188970,-0.0291
11/27/2022,130200,130200,130200,130200,134460,0.03
11/25/2022,126408,127282,130971,125534,162920,-0.0069
11/24/2022,127282,126311,127670,125437,109460,0.025
11/23/2022,124175,117864,124175,117864,198570,0.0676
11/22/2022,116311,118252,120680,115825,354790,-0.0307
11/21/2022,120000,121359,122621,119223,263040,-0.0408
11/20/2022,125100,125100,125100,125100,445290,0.03
11/18/2022,121456,123107,125437,120874,428530,-0.0134
11/17/2022,123107,125437,127476,123107,352150,-0.0239
11/16/2022,126117,129320,129320,124175,812790,-0.0226
11/15/2022,129029,132330,132330,126796,918360,-0.0163
11/14/2022,131165,130680,133689,129709,380360,-0.016
11/13/2022,133300,133300,133300,133300,505190,0.03
11/11/2022,129418,130194,133884,127864,298030,0.027
11/10/2022,126019,129709,131651,126019,337010,-0.0313
11/09/2022,130097,130194,130874,128447,256850,-0.003
11/08/2022,130485,133689,133884,128447,251150,-0.0254
11/07/2022,133884,133301,134078,129223,320900,-0.0213
11/06/2022,136800,136800,136800,136800,388160,0.03
11/04/2022,132816,135340,138350,131262,433980,-0.0165
11/03/2022,135049,127184,135340,127087,399700,0.0334
11/02/2022,130680,137184,138252,127476,223990,-0.0461
11/01/2022,136990,138641,140000,135437,215110,-0.0063
10/31/2022,137864,137379,139223,133981,184240,0.01
10/28/2022,136505,137961,139320,135340,307430,-0.0168
10/27/2022,138835,139029,141068,135825,176770,0.0099
10/26/2022,137476,139903,141748,137087,130440,-0.0098
10/25/2022,138835,145146,148932,137087,258020,-0.0357
10/24/2022,143981,147670,148058,141651,213100,-0.0205
10/23/2022,147000,147000,147000,147000,166330,0.03
10/21/2022,142718,142233,149029,140777,194590,0.0034
10/20/2022,142233,145243,147087,139223,272000,-0.0174
10/19/2022,144757,139903,150485,139709,254090,0.0262
10/18/2022,141068,143981,146602,133981,328460,0.0055
10/17/2022,140291,126505,140291,126019,761290,0.0636
10/16/2022,131900,131900,131900,131900,303740,0.03
10/14/2022,128058,123592,129709,121651,287530,0.068
10/13/2022,119903,118932,121651,116990,199990,0.0098
10/12/2022,118738,114951,120194,114951,190260,0.0391
10/11/2022,114272,113204,116408,112233,264170,-0.0493
10/10/2022,120200,120200,120200,120200,327750,0.03
10/07/2022,116699,116505,119709,115146,163320,-0.014
10/06/2022,118350,111262,118641,111165,329590,0.0731
10/05/2022,110291,117379,118544,109417,229880,-0.0315
10/04/2022,113884,114466,115825,111651,465830,-0.0157
10/03/2022,115700,115700,115700,115700,800580,0.03
09/30/2022,112330,108835,115049,108641,367780,0.0078
09/29/2022,111456,119320,120388,111262,274470,-0.0401
09/28/2022,116117,124466,125728,116117,399870,-0.0707
09/27/2022,124951,123592,124951,117282,200110,0.0214
09/26/2022,122330,124757,126990,120388,364990,-0.0857
09/25/2022,133800,133800,133800,133800,266440,0.03
09/23/2022,129903,134951,137961,128155,313210,-0.0422
09/22/2022,135631,128641,136408,127767,421950,0.0504
09/21/2022,129126,125922,130388,124272,355860,0.0223
09/20/2022,126311,130097,130971,125825,193840,-0.0091
09/19/2022,127476,138350,140680,126602,278230,-0.0959
09/18/2022,141000,141000,141000,141000,311890,0.03
09/16/2022,136893,142718,145146,133981,327860,-0.0309
09/15/2022,141262,132039,144854,131651,294810,0.0826
09/14/2022,130485,118252,133398,118252,356780,0.0709
09/13/2022,121845,124272,126505,121359,442950,-0.0229
09/12/2022,124700,124700,124700,124700,711860,0.03
09/08/2022,121068,118252,125146,116505,875110,0.0357
09/07/2022,116893,107476,118155,106214,192950,0.0945
09/06/2022,106796,106505,109320,104757,450210,0.0064
09/05/2022,106117,107961,109515,105146,409280,-0.0457
09/04/2022,111200,111200,111200,111200,185480,0.03
09/02/2022,107961,110583,111748,106408,374880,-0.0089
09/01/2022,108932,110388,113592,108252,227170,-0.0235
08/31/2022,111553,104854,111942,104369,322450,0.059
08/30/2022,105340,104369,108350,103010,278650,0.0197
08/29/2022,103301,101068,104854,100583,407080,-0.023
08/26/2022,105728,110291,110971,105631,172780,-0.0397
08/25/2022,110097,109126,111165,107379,340890,0.0134
08/24/2022,108641,108641,110291,104272,282970,0.0145
08/23/2022,107087,109903,110971,105534,556610,-0.0256
08/22/2022,109903,109029,112718,108835,422190,-0.0501
08/21/2022,115700,115700,115700,115700,353030,0.03
08/19/2022,112330,118835,118932,111845,602870,-0.0446
08/18/2022,117573,113301,118835,112524,424940,0.028
08/17/2022,114369,114854,115922,113301,686030,-0.0034
08/16/2022,114757,112136,115243,110874,664300,0.0102
08/15/2022,113600,113600,113600,113600,616320,0.03
08/12/2022,110291,115534,115534,110097,493660,-0.0454
08/11/2022,115534,118350,119029,112524,657880,-0.0008
08/10/2022,115631,116214,119418,114660,426360,-0.0075
08/09/2022,116505,113010,119418,111748,312090,0.0426
08/08/2022,111748,111748,115728,109417,355280,-0.0274
08/07/2022,114900,114900,114900,114900,383560,0.03
08/05/2022,111553,101165,115534,100485,345670,0.1221
08/04/2022,99417,96214,101942,95146,973600,0.0354
08/03/2022,96019,90291,96408,90194,700210,0.0646
08/02/2022,90194,90291,91942,88932,601540,0.012
08/01/2022,89126,86699,89709,85728,644320,-0.0019
07/31/2022,89300,89300,89300,89300,640870,0.03
07/29/2022,86699,88350,89126,85922,964120,-0.0143
07/28/2022,87961,90485,91845,86602,650490,-0.0088
07/27/2022,88738,86602,88932,84563,651930,0.0201
07/26/2022,86990,89417,89612,84272,361670,-0.0324
07/25/2022,89903,89029,92524,89029,220630,-0.026
07/24/2022,92300,92300,92300,92300,192580,0.03
07/22/2022,89612,87670,92427,87379,212280,0.0394
07/21/2022,86214,88155,89515,84660,194800,-0.0188
07/20/2022,87864,86796,93689,86214,229180,0.0226
07/19/2022,85922,75825,87379,75437,333820,0.1202
07/18/2022,76699,78058,78350,73786,541520,-0.0125
07/15/2022,77670,72913,80000,72816,429470,0.0568
07/14/2022,73495,73786,77476,71651,439060,0.0987
07/13/2022,66893,65049,67864,63884,327700,0.0207
07/12/2022,65534,66505,66796,64854,598440,-0.0316
07/11/2022,67670,69903,70000,67573,358560,-0.0522
07/10/2022,71400,71400,71400,71400,804130,0.03
07/08/2022,69320,69612,71165,69320,622660,0.0142
07/07/2022,68350,69320,70097,68058,570610,0.0014
07/06/2022,68252,69417,70777,67961,856840,-0.029
07/05/2022,70291,65534,70291,64951,465550,0.0742
07/04/2022,65437,66602,67670,63495,694280,-0.0334
07/03/2022,67700,67700,67700,67700,484780,0.03
07/01/2022,65728,69515,70000,64563,444100,-0.0545
06/30/2022,69515,74466,75049,68641,661940,-0.0677
06/29/2022,74563,75728,76505,73981,369770,-0.0327
06/28/2022,77087,73107,78155,72621,338190,0.0558
06/27/2022,73010,74757,77184,71359,323180,0.0358
06/24/2022,70485,64563,70583,64272,262110,0.0967
06/23/2022,64272,68544,70097,62039,369680,-0.0754
06/22/2022,69515,73592,74272,69417,367100,-0.0389
06/21/2022,72330,73592,73981,69029,546330,-0.0132
06/20/2022,73301,75243,75631,72427,806040,-0.0393
06/19/2022,76300,76300,76300,76300,372980,0.03
06/17/2022,74078,70874,74757,70874,305320,0.0173
06/16/2022,72816,71651,74757,71456,432720,0.046
06/15/2022,69612,72427,73981,69320,680060,-0.035
06/14/2022,72136,69029,72330,69029,567810,0.0109
06/13/2022,71359,72233,73592,71068,507650,-0.0696
06/12/2022,76700,76700,76700,76700,424800,0.03
06/10/2022,74466,75049,75534,74466,487830,-0.0204
06/09/2022,76019,74951,76311,73981,404710,0.009
06/08/2022,75340,76311,76796,74951,485050,-0.0051
06/07/2022,75728,78350,78350,75631,438580,-0.0651
06/06/2022,81000,81000,81000,81000,790740,0.03
06/03/2022,78641,80097,80388,78544,797180,-0.0086
06/02/2022,79320,79320,79709,78641,797710,-0.0385
06/01/2022,82500,82500,82500,82500,914540,0.03
05/31/2022,80097,80194,81553,79709,566460,0.0049
05/30/2022,79709,79126,80097,78350,756550,0.0173
05/27/2022,78350,79515,80000,78252,360600,0.0013
05/26/2022,78252,79029,79903,78058,278240,-0.0037
05/25/2022,78544,79903,80097,77961,456020,-0.0086
05/24/2022,79223,82621,82621,79029,319050,-0.0389
05/23/2022,82427,85340,85437,82039,567900,-0.058
05/22/2022,87500,87500,87500,87500,862730,0.03
05/20/2022,84951,81748,87184,81456,503540,0.0492
05/19/2022,80971,78447,81942,78155,757040,0.0012
05/18/2022,80874,82136,83495,80680,409020,0
05/17/2022,80874,79806,81068,78544,379060,0.0134
05/16/2022,79806,80000,81845,79320,947800,0.0111
05/13/2022,78932,77864,79903,76408,624910,0.0137
05/12/2022,77864,81165,81456,77767,619130,-0.062
05/11/2022,83010,81165,83010,81068,530940,0.0118
05/10/2022,82039,80388,82427,78641,590340,-0.0094
05/09/2022,82816,83981,84660,82621,409520,-0.06
05/08/2022,88100,88100,88100,88100,341990,0.03
05/06/2022,85534,86602,89515,84854,436020,-0.0549
05/05/2022,90500,90500,90500,90500,665600,0.03
05/04/2022,87864,85534,90680,85340,701140,0.0402
05/03/2022,84466,85340,86990,84466,614020,0.0023
05/02/2022,84272,81748,85146,80971,517390,-0.0201
05/01/2022,86000,86000,86000,86000,845980,0.03
04/29/2022,83495,78738,83884,78252,725610,0.067
04/28/2022,78252,79126,80485,77767,854650,-0.0049
04/27/2022,78641,77573,79806,76990,714970,-0.0253
04/26/2022,80680,81262,82330,79709,772120,-0.006
04/25/2022,81165,81456,82621,80971,542830,-0.0302
04/22/2022,83689,84466,84466,82524,530190,-0.0205
04/21/2022,85437,86505,87767,84951,608100,-0.0123
04/20/2022,86505,88350,88447,86505,879470,-0.0067
04/19/2022,87087,86699,88641,86699,950780,0.0045
04/18/2022,86699,87087,87184,84951,733230,-0.0356
04/17/2022,89900,89900,89900,89900,532330,0.03
04/15/2022,87282,87864,88932,86990,795230,-0.0186
04/14/2022,88932,91262,92039,88932,614660,-0.0255
04/13/2022,91262,89223,92039,88350,534480,0.0229
04/12/2022,89223,88252,89903,86893,954470,-0.0182
04/11/2022,90874,95534,96602,90291,561300,-0.0876
04/10/2022,99600,99600,99600,99600,316600,0.03
04/08/2022,96699,95437,101165,94175,603940,0.0163
04/07/2022,95146,100583,102233,94175,532850,-0.0345
04/06/2022,98544,97282,100000,96311,478110,-0.001
04/05/2022,98641,88252,98641,87864,174780,0.1289
04/04/2022,87379,86019,87379,85437,192210,-0.0204
04/03/2022,89200,89200,89200,89200,216040,0.03
04/01/2022,86602,88835,88835,85922,309560,-0.0315
03/31/2022,89417,87670,89806,86408,159290,0.0143
03/30/2022,88155,89612,89709,88058,144480,-0.0044
03/29/2022,88544,88835,90680,88058,143470,0.0167
03/28/2022,87087,88641,88641,86019,407220,-0.0482
03/27/2022,91500,91500,91500,91500,181690,0.03
03/25/2022,88835,90000,91068,88738,249490,-0.0054
03/24/2022,89320,89806,89806,88155,247670,-0.0171
03/23/2022,90874,91748,92136,88641,179260,0.0174
03/22/2022,89320,90291,90291,88447,228080,-0.0022
03/21/2022,89515,90777,91553,89320,294720,-0.0196
03/20/2022,91300,91300,91300,91300,348610,0.03
03/18/2022,88641,89903,90777,88155,178150,0
03/17/2022,88641,89612,91456,88350,435640,0.0316
03/16/2022,85922,84563,87282,84563,994040,0.0412
03/15/2022,82524,81456,84660,80971,230350,-0.007
03/14/2022,83107,85340,85340,80874,262730,-0.0725
03/13/2022,89600,89600,89600,89600,145040,0.03
03/11/2022,86990,90291,90583,86019,250680,-0.0282
03/10/2022,89515,89223,93689,88447,199400,0.0207
03/09/2022,87700,87700,87700,87700,460630,0.03
03/08/2022,85146,86214,88447,84951,518050,-0.0447
03/07/2022,89126,89320,91359,86796,417980,-0.0618
03/06/2022,95000,95000,95000,95000,,0.03
03/04/2022,92233,91651,93884,91262,493660,0
03/03/2022,92233,92330,93884,89126,657880,0.0171
03/02/2022,90680,83495,92233,83107,426360,0.0483
03/01/2022,86500,86500,86500,86500,312090,0.03
