Date,Price,Open,High,Low,Vol.,Change %
11/03/2022,111600,106700,111900,106700,615480,0.0173
11/02/2022,109700,115200,115900,108200,627010,-0.0502
11/01/2022,115500,116400,117900,114500,736680,0.0035
10/31/2022,115100,116700,117000,113200,496950,0.0061
10/30/2022,114400,114400,114400,114400,881070,0
10/28/2022,114400,109900,115300,108900,640860,0.0316
10/27/2022,110900,104600,110900,103500,942740,0.0736
10/26/2022,103300,104400,105300,103300,520090,-0.0019
10/25/2022,103500,107300,108900,102300,708750,-0.0327
10/24/2022,107000,108000,108100,105900,642090,0.0056
10/23/2022,106400,106400,106400,106400,857410,0
10/21/2022,106400,103700,109200,103100,857950,0.0431
10/20/2022,102000,105200,105200,100800,593920,-0.0395
10/19/2022,106200,105100,109300,105100,503280,0.0134
10/18/2022,104800,110600,112100,102500,643680,-0.0394
10/17/2022,109100,103800,109200,103600,614140,0.041
10/16/2022,104800,104800,104800,104800,962640,0
10/14/2022,104800,106300,106900,104200,701090,0.001
10/13/2022,104700,99800,104800,99800,822520,0.0523
10/12/2022,99500,99600,101200,98400,407730,0.0112
10/11/2022,98400,95000,99100,95000,656110,0.0144
10/10/2022,97000,97000,97000,97000,677070,0
10/07/2022,97000,95100,99100,94100,929120,0.0031
10/06/2022,96700,92600,96800,92500,895490,0.058
10/05/2022,91400,95500,95600,91300,648910,-0.0108
10/04/2022,92400,89600,92600,88700,692440,0.0488
10/03/2022,88100,88100,88100,88100,905430,0
09/30/2022,88100,89000,91600,86900,680060,-0.0297
09/29/2022,90800,95200,95400,90800,830820,-0.0141
09/28/2022,92100,94500,97600,91900,613000,-0.0315
09/27/2022,95100,92300,95600,90100,864670,0.0303
09/26/2022,92300,98000,99700,92300,906780,-0.087
09/25/2022,101100,101100,101100,101100,853990,0
09/23/2022,101100,107900,107900,100100,737430,-0.063
09/22/2022,107900,102900,108400,102900,556530,0.0375
09/21/2022,104000,101500,105000,101100,528570,0.0196
09/20/2022,102000,101600,105000,101200,475050,0.02
09/19/2022,100000,99800,102300,99500,449180,0.003
09/18/2022,99700,99700,99700,99700,836860,0
09/16/2022,99700,102200,103500,99500,948690,-0.0376
09/15/2022,103600,106900,107300,103300,844310,-0.0318
09/14/2022,107000,104900,109000,102700,743920,-0.0129
09/13/2022,108400,110400,111300,107200,679290,0.0037
09/12/2022,108000,108000,108000,108000,833960,0
09/08/2022,108000,106500,108500,105200,692930,0.0355
09/07/2022,104300,103600,106200,101300,892820,0.0048
09/06/2022,103800,103100,106100,102900,610180,0.0087
09/05/2022,102900,104000,105600,102500,620560,-0.0302
09/04/2022,106100,106100,106100,106100,652510,0
09/02/2022,106100,107400,108400,106000,751460,-0.0047
09/01/2022,106600,110200,110500,106600,477420,-0.0499
08/31/2022,112200,111000,112200,108900,824200,0.0009
08/30/2022,112100,111800,114100,111800,430450,0.0018
08/29/2022,111900,109500,113600,109500,537740,-0.0201
08/28/2022,114200,114200,114200,114200,509610,0
08/26/2022,114200,117300,117800,113800,557820,-0.0189
08/25/2022,116400,115500,116900,113700,479540,0.0095
08/24/2022,115300,114400,116400,111600,505620,0.0341
08/23/2022,111500,112400,112500,110600,692120,-0.0133
08/22/2022,113000,112000,115500,112000,862520,-0.0088
08/21/2022,114000,114000,114000,114000,977440,0
08/19/2022,114000,118200,118500,113500,742400,-0.0314
08/18/2022,117700,118100,119700,117400,521100,-0.0126
08/17/2022,119200,117800,119500,117100,506730,0.0093
08/16/2022,118100,119500,119600,117600,610120,-0.0034
