Date,Price,Open,High,Low,Vol.,Change %
01/16/2023,47750,47350,48500,47250,54.69,0.017
01/13/2023,46950,47750,48000,46550,53.19,-0.0053
01/12/2023,47200,47550,47550,46600,61.44,0.0021
01/11/2023,47100,44900,47200,44900,96.83,0.0549
01/10/2023,44650,45650,46150,44450,63.75,-0.0208
01/09/2023,45600,44450,45750,44450,66.73,0.0411
01/06/2023,43800,42400,44000,42350,62.25,0.0127
01/05/2023,43250,43850,44400,42850,0,-0.0126
01/04/2023,43800,42650,44000,42650,67.79,0.0081
01/03/2023,43450,45000,45350,42750,125.26,-0.0344
01/02/2023,45000,45950,46450,45000,77.22,-0.0077
12/29/2022,45350,49300,49300,44750,268.25,-0.0792
12/28/2022,49250,51200,51200,49100,104.05,-0.0474
12/27/2022,51700,50300,51800,50300,77.89,0.0299
12/26/2022,50200,50100,50300,49100,68.22,0.004
12/23/2022,50000,50500,51100,49900,65.56,-0.0347
12/22/2022,51800,50500,51900,50400,0.03,0.036
12/21/2022,50000,50300,50700,49850,40.86,0
12/20/2022,50000,50700,50900,49850,55.77,-0.0157
12/19/2022,50800,50100,51100,50100,27.71,0.0059
12/16/2022,50500,50500,50800,50100,43.27,-0.0175
12/15/2022,51400,51800,52700,51200,36.83,-0.0172
12/14/2022,52300,51000,52400,50900,0.04,0.0336
12/13/2022,50600,51400,51500,50500,43.32,-0.0059
12/12/2022,50900,51000,51400,50600,39.66,-0.0097
12/11/2022,51400,51400,51400,51400,,0
12/09/2022,51400,51400,52200,50500,68.64,0.0059
12/08/2022,51100,51100,52100,51100,61.17,-0.0097
12/07/2022,51600,51300,52200,50800,0.01,0.0019
12/06/2022,51500,51500,52000,51200,49.05,-0.0153
12/05/2022,52300,52800,53100,51700,67.71,-0.0076
12/04/2022,52700,52700,52700,52700,,0
12/02/2022,52700,55400,55400,52000,102.89,-0.0401
12/01/2022,54900,54000,56800,53900,165.92,0.0358
11/30/2022,53000,52500,53300,51500,50.27,0.0095
11/29/2022,52500,51000,53000,51000,53.75,0.0155
11/28/2022,51700,53700,53700,51600,107.6,-0.039
11/27/2022,53800,53800,53800,53800,,0
11/25/2022,53800,54700,55300,53800,75.49,-0.0182
11/24/2022,54800,54400,55000,54000,0.01,0.0129
11/23/2022,54100,52800,54100,52500,71.08,0.0364
11/22/2022,52200,52800,54100,52100,97.93,-0.0315
11/21/2022,53900,56700,56700,53400,125.09,-0.0392
11/18/2022,56100,55800,57300,55400,116.08,0.0145
11/17/2022,55300,56300,56500,55200,84.61,-0.023
11/16/2022,56600,58900,58900,56200,153.08,-0.0407
11/15/2022,59000,57800,59000,56600,224.96,0.0406
11/14/2022,56700,57200,59200,56400,0.04,0.0089
11/13/2022,56200,56200,56200,56200,,0
11/11/2022,56200,52100,56800,51600,364.57,0.1251
11/10/2022,49950,50700,51500,49900,104.44,-0.0225
11/09/2022,51100,51300,51800,50800,65.84,0
11/08/2022,51100,50700,51300,50200,63.63,0.0039
11/07/2022,50900,49650,51400,49000,152.91,0.0262
11/04/2022,49600,50000,51000,49000,89.47,-0.01
11/03/2022,50100,49200,50600,48900,0,-0.002
11/02/2022,50200,51900,52100,49700,110.44,-0.0309
11/01/2022,51800,51500,52600,51300,55.77,0.0019
10/31/2022,51700,52000,52000,50800,48.94,0.0098
10/28/2022,51200,51500,52200,51000,60.3,-0.0135
10/27/2022,51900,51600,52000,50900,96.68,0.0078
10/26/2022,51500,52200,52600,51100,60.78,-0.0134
10/25/2022,52200,53300,54200,51400,75.3,-0.0206
10/24/2022,53300,54100,54200,52900,63.06,0.0133
10/21/2022,52600,53100,54100,52200,63.74,-0.0094
10/20/2022,53100,54100,54900,53000,99.22,-0.0221
10/19/2022,54300,55100,55900,53800,161.54,-0.0073
10/18/2022,54700,53100,54700,52000,189.49,0.0479
10/17/2022,52200,50600,52400,50100,76.29,0.0215
10/14/2022,51100,51100,51600,50600,81.56,0.0251
10/13/2022,49850,51300,51300,49500,98.51,-0.0358
10/12/2022,51700,51800,51800,49950,74.92,0.0319
10/11/2022,50100,51000,51700,49950,96.61,-0.0493
10/10/2022,52700,52700,52700,52700,,0
10/07/2022,52700,52500,53900,52300,70.49,-0.015
10/06/2022,53500,51400,53800,51300,0,0.0429
10/05/2022,51300,53700,54200,50700,90.19,-0.0247
10/04/2022,52600,52000,52800,51600,75.38,0.0354
09/30/2022,50800,49700,51500,49200,96.17,0.004
09/29/2022,50600,51500,53000,50500,101.46,0.008
09/28/2022,50200,53600,53600,48250,157.03,-0.0634
09/27/2022,53600,51100,53600,51100,123.55,0.0347
09/26/2022,51800,53000,54100,51100,182.34,-0.0547
09/23/2022,54800,57500,57500,54500,195.06,-0.0519
09/22/2022,57800,57600,58100,56300,0.14,-0.0052
09/21/2022,58100,54000,59900,54000,0.04,0.0583
09/20/2022,54900,54900,56000,54500,149.94,0.0186
09/19/2022,53900,62000,62100,53600,542.88,-0.1236
09/18/2022,61500,61500,61500,61500,,0
09/16/2022,61500,58900,64300,58100,781.14,0.0441
09/15/2022,58900,60000,60400,58700,0.01,-0.0017
09/14/2022,59000,55700,59400,55600,291.65,0.0225
09/13/2022,57700,55600,58100,55600,225.51,0.0548
09/08/2022,54700,53800,55200,53500,183.85,0.0282
09/07/2022,53200,53700,55200,52100,174.94,-0.0075
09/06/2022,53600,52900,54700,52900,0.29,0.0152
09/05/2022,52800,53700,54000,51500,100.41,-0.0094
09/04/2022,53300,53300,53300,53300,,0
09/02/2022,53300,50800,54200,50800,202.26,0.0513
09/01/2022,50700,53000,53000,50500,0.02,-0.0523
08/31/2022,53500,52600,54100,52100,0.02,0.0075
08/30/2022,53100,52700,53800,52700,0.02,0.0114
08/29/2022,52500,51400,52900,51400,0.1,-0.0278
08/28/2022,54000,54000,54000,54000,,0
08/26/2022,54000,56900,57400,53800,240.24,-0.0476
08/25/2022,56700,56900,57400,56100,132.7,-0.0053
08/24/2022,57000,56000,57300,54900,0.01,0.0307
08/23/2022,55300,56000,56200,55000,144.2,-0.0212
08/22/2022,56500,56700,58000,56200,0,-0.0225
08/21/2022,57800,57800,57800,57800,,0
08/19/2022,57800,60300,61000,57800,155.72,-0.0367
08/18/2022,60000,60800,60800,58400,221.78,-0.0212
08/17/2022,61300,61400,62800,60600,0.11,0.0033
08/16/2022,61100,61100,62000,60800,185.48,0.0116
08/15/2022,60400,60400,60400,60400,,0
08/12/2022,60400,61000,61600,59200,240.25,-0.0033
08/11/2022,60600,62400,62800,59900,0.2,-0.0226
08/10/2022,62000,62100,64400,59700,414.59,-0.0016
08/09/2022,62100,62900,66600,61600,687.3,0.0081
08/08/2022,61600,57000,63300,55900,0,0.118
08/07/2022,55100,55100,55100,55100,,0
08/05/2022,55100,52500,57700,51900,900.61,0.0556
08/04/2022,52200,53400,54000,52000,319.41,-0.0169
08/03/2022,53100,52200,54300,49550,704.68,0.0331
08/02/2022,51400,46800,53500,46000,974.11,0.109
08/01/2022,46350,45650,46900,45350,231.41,0.0266
07/29/2022,45150,41450,46200,41000,581.21,0.1026
07/28/2022,40950,41100,41750,40800,47.48,-0.0024
07/27/2022,41050,39950,41300,39850,59.16,0.0224
07/26/2022,40150,39800,40500,39600,36.45,-0.0025
07/25/2022,40250,40200,40600,39700,43.92,0.0012
07/22/2022,40200,40550,41950,40050,98.03,-0.0074
07/21/2022,40500,40500,41000,40000,45.96,0
07/20/2022,40500,41350,41700,40050,83.11,0.0025
07/19/2022,40400,39300,41050,38800,92.82,0.0241
07/18/2022,39450,39350,39500,39050,0.06,0.0341
07/15/2022,38150,38150,38900,37150,74.27,-0.0039
07/14/2022,38300,39250,40000,38100,204.1,0.0159
07/13/2022,37700,36100,37700,35850,47.35,0.0429
07/12/2022,36150,36650,37150,36100,0,-0.0321
07/11/2022,37350,37850,38700,37050,38.89,-0.0106
07/10/2022,37750,37750,37750,37750,,0
07/08/2022,37750,38000,38750,37600,36.82,0.0067
07/07/2022,37500,37000,37600,36850,30.73,0.0163
07/06/2022,36900,37100,38400,36850,50.29,-0.034
07/05/2022,38200,36200,38350,36200,0,0.0611
07/04/2022,36000,36700,37150,35550,0.01,-0.0191
07/01/2022,36700,39200,39500,36550,119.08,-0.0492
06/30/2022,38600,39050,39650,37750,89.17,-0.0026
06/29/2022,38700,37900,40000,37600,71.98,-0.0102
06/28/2022,39100,38250,39700,38250,73.81,0.009
06/27/2022,38750,38400,40200,38350,0.01,0.0184
06/26/2022,38050,38050,38050,38050,,0
06/24/2022,38050,35000,38400,35000,107.8,0.0856
06/23/2022,35050,36850,37550,35050,0.02,-0.0488
06/22/2022,36850,39350,39950,36850,0.01,-0.0599
06/21/2022,39200,38850,39700,37750,80.4,-0.0025
06/20/2022,39300,40750,40800,39050,0.1,-0.0368
06/17/2022,40800,39550,40800,39150,65.64,0.0025
06/16/2022,40700,40750,41550,40450,63.97,0.0188
06/15/2022,39950,41000,41700,39700,85.62,-0.0256
06/14/2022,41000,40200,41300,39850,105.27,-0.012
06/13/2022,41500,43950,43950,41500,139.45,-0.0695
06/12/2022,44600,44600,44600,44600,,0
06/10/2022,44600,44550,45000,44050,57.7,0.0011
06/09/2022,44550,44700,45350,44050,0.42,-0.0078
06/08/2022,44900,45550,46000,44900,34.78,-0.0066
06/07/2022,45200,46500,46500,45200,59.53,-0.029
06/03/2022,46550,47150,47450,46400,59.65,-0.0075
06/02/2022,46900,46950,47500,46600,37.35,0
05/31/2022,46900,47200,47450,46500,63.38,-0.0053
05/30/2022,47150,47300,47650,46500,62.66,0.0096
05/29/2022,46700,46700,46700,46700,,0
05/27/2022,46700,48250,48250,46200,101.9,-0.0032
05/26/2022,46850,44900,47350,44550,197.67,0.0588
05/25/2022,44250,44400,45450,43500,61.15,-0.0011
05/24/2022,44300,45950,45950,44100,51.19,-0.0306
05/23/2022,45700,44900,46400,44850,0.04,0.019
05/20/2022,44850,43100,45350,43100,123.19,0.0455
05/19/2022,42900,42500,43400,42500,0.13,-0.0305
05/18/2022,44250,44400,45200,43750,0,0.0068
05/17/2022,43950,43600,44300,43550,46.96,-0.0011
05/16/2022,44000,43900,45300,43900,0.02,0.0034
05/13/2022,43850,42850,43950,42850,58.05,0.0281
05/12/2022,42650,44350,44700,42600,0.01,-0.0657
05/11/2022,45650,43500,45650,43100,77.64,0.0399
05/10/2022,43900,42650,44800,42050,121.89,-0.0146
05/09/2022,44550,45000,46150,44150,92.93,-0.0357
05/06/2022,46200,47100,47300,46000,122.16,-0.0365
05/05/2022,47950,47950,47950,47950,,0
05/04/2022,47950,48100,49300,47850,87.81,-0.0052
05/03/2022,48200,49050,49550,48150,122.45,-0.0302
05/02/2022,49700,49000,50500,48550,0.02,-0.008
04/29/2022,50100,47750,50100,47750,80.4,0.0503
04/28/2022,47700,48400,48850,47450,66.22,-0.0134
04/27/2022,48350,48200,48950,48200,103.61,-0.0349
04/26/2022,50100,49600,50200,49150,0.02,0.0111
04/25/2022,49550,50000,50300,49500,104.54,-0.0303
04/22/2022,51100,51500,51500,50000,118.6,-0.0135
04/21/2022,51800,52800,53300,51800,0.01,-0.0077
04/20/2022,52200,52700,52800,52000,0.01,-0.0114
04/19/2022,52800,52000,53000,52000,68.16,0.0115
04/18/2022,52200,53000,53000,52000,0.02,-0.0132
04/17/2022,52900,52900,52900,52900,,0
04/15/2022,52900,52900,53300,51500,92.15,0
04/14/2022,52900,54200,54300,52900,0.24,-0.0204
04/13/2022,54000,53600,54100,53200,0.03,0.0075
04/12/2022,53600,53400,53600,52200,0.25,-0.0165
04/11/2022,54500,57700,57700,54500,0.01,-0.0439
04/10/2022,57000,57000,57000,57000,,0
04/08/2022,57000,55500,58200,55300,200.26,0.027
04/07/2022,55500,57800,59900,55200,265.16,-0.0381
04/06/2022,57700,58300,58500,56800,159.37,-0.0154
04/05/2022,58600,59300,60400,58000,0.07,0.0263
04/04/2022,57100,53100,57500,53100,243.98,0.0693
04/01/2022,53400,54300,54300,53100,77.61,-0.0166
03/31/2022,54300,54100,54600,53600,0.13,-0.0018
03/30/2022,54400,54800,55200,54000,83.19,0.0093
03/29/2022,53900,53100,54200,53000,78.92,0.0286
03/28/2022,52400,54400,54400,52300,98.17,-0.0368
03/25/2022,54400,54600,55400,53900,92.81,0.0018
